Tiêu đề,Vị trí,Giá tiền,Diện tích
Bán căn hộ 3 ngủ đẹp tại The Link Ciputra Hà Nội,Ciputra Hà Nội,12.1 tỷ,114
Bán căn hộ 2PN view sân Golf tại tòa L5 Ciputra,Ciputra Hà Nội,9.1 tỷ,72
"Chính chủ bán căn hộ 2PN, sửa đẹp, hướng Đông Nam tòa L3 Cip...",Ciputra Hà Nội,9 tỷ,72
"Bán Căn Hộ Sunshine City Ciputra Tòa S5: Căn Góc 3PN, 103m2,...",Ciputra Hà Nội,12.65 tỷ,103
"Cần bán căn hộ 2PN, view sân Golf tại tòa L5 Ciputra, giá tố...",Ciputra Hà Nội,8.8 tỷ,72
"Bán căn hộ góc tòa P2 Ciputra hướng Đông Nam, view sân Golf đã...",Ciputra Hà Nội,19.5 tỷ,182
"Bán căn hộ Sunshine City Ciputra 97.6m² 2 phòng ngủ, thiết kế...",Ciputra Hà Nội,12 tỷ,97.6
Bán Căn Hộ Sunshine City Ciputra Tòa S4 88.3m² 3PN View Nội ...,Ciputra Hà Nội,9.65 tỷ,88.3
"Bán căn hộ 3PN Sunshine City Ciputra 103.2m2 tòa S3, view nội...",Ciputra Hà Nội,11 tỷ,103.2
"Bán căn hộ góc sửa đẹp,  3 phòng ngủ 2wc, view Hồ Tây, tầng cao...",Ciputra Hà Nội,17 tỷ,149
"Chính chủ bán căn hộ 53m, 2pn, 1wc tại tòa L345 Ciputra",Ciputra Hà Nội,6.2 tỷ,53
"Bán căn hộ Duplex Sunshine City Ciputra diện tích 192,3m², view...",Ciputra Hà Nội,20 tỷ,192.3
"Bán căn hộ Sunshine City 86,2m² tại Ciputra, 2PN+1, view Sông...",Ciputra Hà Nội,9 tỷ,86.2
"Bán Penthouse Duplex Cầu Giấy 350m2 | 4PN, Full Nội thất, Có...",Quận Cầu Giấy,38 tỷ,350
"Bán căn hộ Sunshine City S1 Ciputra 86.2m2, 2PN+1, tầng 23 view...",Ciputra Hà Nội,9.65 tỷ,86.2
